행정구역,2026년06월_총인구수,2026년06월_세대수,2026년06월_세대당 인구,2026년06월_남자 인구수,2026년06월_여자 인구수,2026년06월_남여 비율
대전광역시 유성구 학하동(3020052600),"21,421","10,263",2.09,"11,170","10,251",1.09
대전광역시 유성구 상대동(3020052700),"25,066","9,302",2.69,"12,159","12,907",0.94
대전광역시 유성구 온천1동(3020053000),"26,676","18,701",1.43,"13,928","12,748",1.09
대전광역시 유성구 온천2동(3020054000),"40,814","23,052",1.77,"21,516","19,298",1.11
대전광역시 유성구 노은1동(3020054600),"20,564","8,844",2.33,"10,268","10,296",1
대전광역시 유성구 노은2동(3020054700),"22,953","9,625",2.38,"11,266","11,687",0.96
대전광역시 유성구 노은3동(3020054800),"35,321","14,134",2.5,"17,262","18,059",0.96
대전광역시 유성구 신성동(3020055000),"25,320","12,691",2,"13,347","11,973",1.11
대전광역시 유성구 전민동(3020057000),"25,343","11,323",2.24,"13,042","12,301",1.06
대전광역시 유성구 구즉동(3020058000),"32,500","15,341",2.12,"16,737","15,763",1.06
대전광역시 유성구 관평동(3020060000),"37,759","14,656",2.58,"19,316","18,443",1.05
대전광역시 유성구 원신흥동(3020061000),"32,559","14,772",2.2,"15,541","17,018",0.91
대전광역시 대덕구 (3023000000),"164,047","81,131",2.02,"83,218","80,829",1.03
대전광역시 대덕구 오정동(3023051000),"13,000","7,424",1.75,"6,785","6,215",1.09
대전광역시 대덕구 대화동(3023052000),"5,206","2,785",1.87,"2,719","2,487",1.09
대전광역시 대덕구 회덕동(3023052500),"11,989","5,897",2.03,"6,089","5,900",1.03
대전광역시 대덕구 비래동(3023053300),"14,192","6,812",2.08,"6,948","7,244",0.96
대전광역시 대덕구 송촌동(3023054300),"26,650","11,074",2.41,"13,214","13,436",0.98
대전광역시 대덕구 중리동(3023054600),"17,394","10,225",1.7,"9,156","8,238",1.11
대전광역시 대덕구 신탄진동(3023055000),"15,844","7,881",2.01,"8,130","7,714",1.05
대전광역시 대덕구 석봉동(3023056000),"15,622","6,666",2.34,"7,999","7,623",1.05
대전광역시 대덕구 덕암동(3023057000),"12,203","6,587",1.85,"6,524","5,679",1.15
대전광역시 대덕구 목상동(3023058000),"5,751","3,133",1.84,"3,187","2,564",1.24
대전광역시 대덕구 법1동(3023060000),"12,018","5,966",2.01,"5,618","6,400",0.88
대전광역시 대덕구 법2동(3023061000),"14,178","6,681",2.12,"6,849","7,329",0.93
,,,,,,
